Problem,time,iterations,usage_ratio_per_machine,total_allowed_machine_usage,total_machine_usage,total_machine_usage_ratio
Problem 2 in file 7,3.006958,6,1.2 1.0 1.2 1.1 1.2 0.8 1.1 1.0,466,495,1.0622317596566524
Problem 3 in file 7,3.005208,6,1.0 1.0 1.1 1.0 1.3 1.0 1.0 0.7,479,493,1.0292275574112735
Problem 4 in file 7,2.891125,6,1.1 0.5 1.1 1.1 1.3 1.1 1.0 1.1,495,508,1.0262626262626262
Problem 5 in file 7,2.97075,6,0.9 1.3 0.9 1.1 1.2 0.7 1.1 1.0,470,485,1.0319148936170213
Problem 1 in file 8,3.345541,5,1.0 1.0 1.1 1.2 1.0 0.7 1.2 0.9,403,411,1.0198511166253101
Problem 2 in file 8,3.812333,6,1.1 1.1 1.1 1.0 1.1 1.0 0.8 0.9,397,404,1.0176322418136021
Problem 3 in file 8,9.7195,6,0.9 1.2 1.0 1.1 1.0 1.0 1.1 0.9,403,414,1.0272952853598014
Problem 4 in file 8,4.034209000000001,7,0.8 0.9 1.2 1.0 1.1 1.1 1.0 1.0,387,391,1.0103359173126616
Problem 5 in file 8,3.6171659999999997,6,1.0 1.2 1.2 1.2 1.0 0.9 0.9 1.0,405,424,1.0469135802469136
Problem 1 in file 9,2.967917,6,1.2 1.2 1.2 1.1 0.9 0.8 0.8 1.1 1.1 0.6,358,357,0.9972067039106145
Problem 2 in file 9,2.95975,7,1.2 1.0 1.2 1.0 1.1 1.2 0.9 1.0 0.8 1.0,359,378,1.052924791086351
Problem 3 in file 9,2.432542,5,1.0 1.4 1.4 1.6 0.7 0.8 0.8 0.6 1.4 1.2,362,395,1.091160220994475
Problem 4 in file 9,2.96625,7,1.2 1.3 1.2 1.4 1.0 0.7 0.7 0.9 0.9 1.1,361,374,1.03601108033241
Problem 5 in file 9,2.809708,6,0.9 1.5 1.1 1.2 1.2 1.0 0.8 1.0 0.8 1.4,366,404,1.1038251366120218
Problem 1 in file 10,3.520167,6,1.2 1.1 0.7 1.1 1.0 0.8 1.3 1.3 0.8 0.9,471,476,1.010615711252654
Problem 2 in file 10,3.399208,5,1.2 1.0 1.0 1.1 1.0 1.0 1.2 0.6 1.0 1.4,468,494,1.0555555555555556
Problem 3 in file 10,8.800334,6,1.1 1.2 1.3 1.0 0.6 1.4 0.9 1.1 0.9 0.9,487,509,1.0451745379876796
Problem 4 in file 10,3.599375,6,0.9 0.7 0.8 1.4 0.8 1.0 1.2 1.1 1.1 1.0,466,477,1.0236051502145922
Problem 5 in file 10,3.843042,7,0.8 1.1 0.8 1.0 1.1 1.1 1.0 1.2 1.0 1.0,466,468,1.0042918454935623
Problem 1 in file 11,4.797917,6,0.7 1.2 1.1 1.0 1.2 1.2 0.8 1.0 1.3 1.0,639,665,1.0406885758998434
Problem 2 in file 11,4.972417,7,1.0 1.0 0.9 0.7 0.7 1.3 1.2 1.1 1.1 0.9,646,645,0.9984520123839009
Problem 3 in file 11,4.727459,6,1.1 1.0 1.1 1.2 1.1 0.9 0.6 1.1 1.1 0.8,657,665,1.0121765601217656
Problem 4 in file 11,5.3875,7,0.9 1.0 1.2 1.3 1.2 1.1 1.3 1.3 0.9 0.7,641,698,1.0889235569422777
Problem 5 in file 11,4.42575,6,1.0 1.1 0.9 1.0 0.5 1.0 1.0 0.8 1.2 1.1,642,623,0.9704049844236761
Problem 1 in file 12,5.910583,6,1.1 0.9 1.1 1.2 1.1 1.2 1.1 1.0 1.1 0.7,721,752,1.042995839112344
Problem 2 in file 12,4.35525,4,1.1 1.1 1.0 0.7 0.9 1.2 1.0 1.1 1.1 1.1,720,733,1.0180555555555555
Problem 3 in file 12,5.1680839999999995,5,0.9 0.9 1.0 1.2 1.1 1.1 1.0 1.2 1.0 1.1,719,761,1.0584144645340752
Problem 4 in file 12,4.925875,5,1.2 1.1 1.0 1.2 0.7 0.9 1.2 0.8 1.0 1.0,720,744,1.0333333333333334
Problem 5 in file 12,4.9325,5,0.9 1.1 0.8 1.2 1.0 1.1 1.2 1.2 1.1 1.3,708,769,1.0861581920903955
